method,sigma,gate_min,gate_max,max_scale_ratio
fourier_gate_s1p5_p4,0.1258796602487564,4.959473881172016e-05,4.959473881172016e-05,1.0886657238006592
fourier_gate_s1p5_p4,0.12695728242397308,5.1314873417140916e-05,5.1314873417140916e-05,1.0901269912719727
fourier_gate_s1p5_p4,0.12804412841796875,5.309461630531587e-05,5.309461630531587e-05,1.0916112661361694
fourier_gate_s1p5_p4,0.12914028763771057,5.493613934959285e-05,5.493613934959285e-05,1.0931190252304077
fourier_gate_s1p5_p4,0.13024581968784332,5.6841468904167414e-05,5.6841468904167414e-05,1.0946506261825562
fourier_gate_s1p5_p4,0.13136082887649536,5.881294055143371e-05,5.881294055143371e-05,1.0962063074111938
fourier_gate_s1p5_p4,0.13248537480831146,6.085278437240049e-05,6.085278437240049e-05,1.0977863073349
fourier_gate_s1p5_p4,0.1336195468902588,6.296330684563145e-05,6.296330684563145e-05,1.0993913412094116
fourier_gate_s1p5_p4,0.1347634196281433,6.51470254524611e-05,6.51470254524611e-05,1.1010212898254395
fourier_gate_s1p5_p4,0.13591709733009338,6.74065449857153e-05,6.74065449857153e-05,1.1026771068572998
fourier_gate_s1p5_p4,0.13708065450191498,6.974441930651665e-05,6.974441930651665e-05,1.1043586730957031
fourier_gate_s1p5_p4,0.13825416564941406,7.216331141535193e-05,7.216331141535193e-05,1.1060664653778076
fourier_gate_s1p5_p4,0.1394377201795578,7.466615352313966e-05,7.466615352313966e-05,1.1078009605407715
fourier_gate_s1p5_p4,0.14063140749931335,7.725572504568845e-05,7.725572504568845e-05,1.1095623970031738
fourier_gate_s1p5_p4,0.1418353170156479,7.993517647264525e-05,7.993517647264525e-05,1.1113512516021729
