spectrum_lambda,seed,method,noise_bin,sigma,n,score_error,unweighted_score_error,reference_error,relative_to_gaussian,dsm_pixel_mean,frequency_band_0,frequency_band_1,frequency_band_2,frequency_band_3
1.0,43,fourier_normalized,16,2.375,1024,0.014766874397701621,0.002617950031725495,0.022049406552376714,0.6697175437635483,0.11440221447429545,0.050163924635493205,0.0255469585421351,0.007591278653886664,0.003045058596569966
1.0,43,fourier_normalized,17,2.5,1024,0.011413919483866585,0.0018262271174186537,0.01654586800333205,0.6898350380631599,0.10689198761429443,0.03741765945562929,0.020000339664924965,0.005930892492703203,0.0024163078109563038
1.0,43,scalar_gate_s1p5_p4,0,0.5,1024,0.06596919576049766,0.26387678304199064,0.25451124087094984,0.2591995368642574,0.4474443425685377,0.0764803310299303,0.0952709410032899,0.0586481025142808,0.0356951479982238
1.0,43,scalar_gate_s1p5_p4,1,0.625,1024,0.08003378941887969,0.20488650091233201,0.245662157011717,0.3257880269082813,0.3825967061176485,0.11950869399525679,0.12271445071728952,0.06458233013315316,0.04059873520313065
1.0,43,scalar_gate_s1p5_p4,2,0.75,1024,0.09048470597901413,0.16086169951824736,0.2272133861828322,0.3982366862232476,0.33287265208148026,0.1550359122949741,0.14423348047801227,0.06815618124218886,0.043421752366601965
1.0,43,scalar_gate_s1p5_p4,3,0.800000011920929,1024,0.09562038702793696,0.14940685027848036,0.22092399094548656,0.4328202954269981,0.32504686399855526,0.17350237260997242,0.15565579437473936,0.06921003058109403,0.04539546188723077
1.0,43,scalar_gate_s1p5_p4,4,0.875,1024,0.10185757630873785,0.13303846701549432,0.20802849885256244,0.48963279969120055,0.3031209888817535,0.19710320511144971,0.16348050599348113,0.07286187368406323,0.048930784116458445
1.0,43,scalar_gate_s1p5_p4,5,1.0,1024,0.10594275215701411,0.10594275215701411,0.18866346927700323,0.5615435386776692,0.27744063970610533,0.21705695435578293,0.17359325093794392,0.07315873134123313,0.04779583174010663
1.0,43,scalar_gate_s1p5_p4,6,1.125,1024,0.10839000103763702,0.08564148230134283,0.16656224675733286,0.6507477123285453,0.2610376671776366,0.22998846443973306,0.1773017161030419,0.07358087977846078,0.04982670823264107
1.0,43,scalar_gate_s1p5_p4,7,1.25,1024,0.10460035414034849,0.06694422664982304,0.14418740701494248,0.7254472239001323,0.2400433924788769,0.23336342000868804,0.1690471612204876,0.07044075651078117,0.04754058489383356
1.0,43,scalar_gate_s1p5_p4,8,1.375,1024,0.0955959350040472,0.05056313917569439,0.12185080469494965,0.7845326523970783,0.22764529094900268,0.2270019277828368,0.15342001992988635,0.06312176038926266,0.042474447692414
1.0,43,scalar_gate_s1p5_p4,9,1.5,1024,0.08726095225800753,0.03878264544800335,0.10209634070744247,0.8546922607936966,0.2158789637147729,0.21284740458172408,0.13694072059485168,0.05801645388892924,0.03965032887362688
1.0,43,scalar_gate_s1p5_p4,10,1.625,1024,0.0749389941966575,0.02837926407447385,0.08421561102624589,0.8898468263004431,0.1968432462292763,0.20594358031233817,0.11419455737395673,0.04802413391225236,0.034049361780500234
1.0,43,scalar_gate_s1p5_p4,11,1.75,1024,0.06606256978486037,0.021571451358321753,0.06931799879163486,0.953036309998503,0.184713883210619,0.19228090958351465,0.09850560319987976,0.04226405503732528,0.028170266205150604
1.0,43,scalar_gate_s1p5_p4,12,1.875,1024,0.0548012881517755,0.015587921963171698,0.05343565402748417,1.0255566091431936,0.17151205490575194,0.16761493952704232,0.07968502471483727,0.034760704537561006,0.023598154929327826
1.0,43,scalar_gate_s1p5_p4,13,2.0,1024,0.0469748821457109,0.011743720536427724,0.04298544785916096,1.0928089501270537,0.16101949065447088,0.15476817568879317,0.06546396299052666,0.029383682947496246,0.02067588342424803
