spectrum_lambda,method,baseline,paired_delta_mean,paired_delta_sd,relative_change_percent,wins,n_seeds
0.5,fourier_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.0132249677461203,0.0013508669275474749,-23.581994025475428,3,3
0.5,fourier_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.016704361808479482,0.0010602237827455976,-28.046190629238687,3,3
0.5,fourier_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.00016480399105671858,0.00031167735029879773,-0.38308136923046465,2,3
0.5,fourier_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.0006091841485862509,0.00011519788330682706,-1.4015509179004293,3,3
0.5,fourier_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_linear_sigma,4.3890727449360144e-05,0.0005135803408870328,0.10251985688856102,1,3
0.5,fourier_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_tanh_sigma,0.00040318939126448894,0.0005223174423012825,0.9497395010422682,1,3
0.5,fourier_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_tanh_sigma,0.0003036254542239751,0.00011581298444319486,0.7135365534557847,0,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,score,-0.016516703341360146,0.0008839563923796366,-28.008971028162087,3,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,scalar_gaussian,-0.04332594110784214,0.003316605169615249,-50.509050008967684,3,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,fourier_gaussian,-0.08627187508633723,0.003473416339430152,-67.02055322468041,3,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,scalar_normalized,-0.049857146559972615,0.0019170575650899852,-54.01068955712911,3,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,fourier_normalized,-0.07728938486194992,0.003783340667017996,-64.54658817633045,3,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4,-5.3737125702092714e-05,0.0003692965236911053,-0.12642135757913175,2,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4,6.481689670058179e-05,0.00044673743326680026,0.15291399289700802,2,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.013628157137384788,0.0009296867658962557,-24.300937919967993,3,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.017107551199743973,0.0007233910163553425,-28.72313516963715,3,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.0005679933823212075,0.00024226311464929746,-1.320281634068965,3,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.0010123735398507399,0.0004399008345878031,-2.329169377320106,3,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_linear_sigma,-0.0003592986638151288,4.9166594811066744e-05,-0.8392489652189306,3,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_linear_sigma,-0.00040318939126448894,0.0005223174423012825,-0.9408043108743769,2,3
0.5,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_tanh_sigma,-9.95639370405139e-05,0.00040694386827733094,-0.23398074007318082,2,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,score,-0.016417139404319634,0.0009692412535585644,-27.840130832247546,3,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,scalar_gaussian,-0.04322637717080163,0.003670332695360845,-50.392979134418134,3,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,fourier_gaussian,-0.08617231114929673,0.0038564533712372798,-66.94320669506106,3,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,scalar_normalized,-0.049757582622932096,0.0022532805569787386,-53.902831060090726,3,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,fourier_normalized,-0.07718982092490939,0.004009623470164698,-64.46343946900348,3,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4,4.582681133842118e-05,7.09161984756845e-05,0.10781164096946849,1,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4,0.0001643808337410957,0.00015199898511967456,0.38780211522941865,0,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.013528593200344274,0.0012558957855848289,-24.123401292770463,3,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.01700798726270346,0.000977728498510819,-28.55596989926935,3,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.00046842944528069363,0.0002002892877443255,-1.0888485899849143,3,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.0009128096028102259,8.675931149649498e-05,-2.1001024725544992,3,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_linear_sigma,-0.0002597347267746149,0.00039778786778282154,-0.6066877576510366,2,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_linear_sigma,-0.0003036254542239751,0.00011581298444319486,-0.7084812805447038,3,3
0.5,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_tanh_sigma,9.95639370405139e-05,0.00040694386827733094,0.23452949391873368,1,3
1.0,scalar_gate_s1p5_p4_linear_sigma,score,-0.02002278454236751,0.000826814599871524,-25.66343098035817,3,3
1.0,scalar_gate_s1p5_p4_linear_sigma,scalar_gaussian,-0.016920546883506877,0.0012987437440983686,-22.585287835870936,3,3
1.0,scalar_gate_s1p5_p4_linear_sigma,fourier_gaussian,-0.069974509060133,0.007201037695548576,-54.679371548361665,3,3
1.0,scalar_gate_s1p5_p4_linear_sigma,scalar_normalized,-0.020925387464136802,0.0023768846171040733,-26.51357808521754,3,3
1.0,scalar_gate_s1p5_p4_linear_sigma,fourier_normalized,-0.02709944649133003,0.0036590865381858346,-31.84523089234057,3,3
1.0,scalar_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4,-0.0005700346436126163,0.0005396701194193571,-0.9732879373907877,3,3
1.0,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4,0.0024100323843847735,0.0010364216476301848,4.335536665323203,0,3
1.0,scalar_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.01117347459280415,0.002020352031002217,-16.153321586414314,3,3
1.0,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.004315706095277989,0.00030454754346223865,-6.925784530562917,3,3
1.0,scalar_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,-6.446071405957765e-06,0.0009300024550609691,-0.011113083477842789,1,3
1.0,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0.0046240445510097,0.0005493398464126878,8.663501085388647,0,3
1.0,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_linear_sigma,0.003673028757950239,0.0004979022901396571,6.761228642000727,0,3
