spectrum_lambda,seed,method,region,n,score_error
0.5,44,scalar_gate_s1p5_p4_tanh_sigma,low,6144,0.013163533331898574
0.5,44,scalar_gate_s1p5_p4_tanh_sigma,middle,6144,0.05081816158242198
0.5,44,scalar_gate_s1p5_p4_tanh_sigma,high,6144,0.0635655783096781
0.5,44,fourier_gate_s1p5_p4_tanh_sigma,low,6144,0.013450932337017926
0.5,44,fourier_gate_s1p5_p4_tanh_sigma,middle,6144,0.050675323385490294
0.5,44,fourier_gate_s1p5_p4_tanh_sigma,high,6144,0.06231026519967053
0.5,44,score,low,6144,0.02051790538961074
0.5,44,score,middle,6144,0.06424844410007864
0.5,44,score,high,6144,0.09224113404939244
0.5,44,scalar_gaussian,low,6144,0.0477816296138008
0.5,44,scalar_gaussian,middle,6144,0.13759334892691957
0.5,44,scalar_gaussian,high,6144,0.08185003804397757
0.5,44,fourier_gaussian,low,6144,0.07688721155552188
0.5,44,fourier_gaussian,middle,6144,0.21883226281820634
0.5,44,fourier_gaussian,high,6144,0.10180569961154402
0.5,44,scalar_normalized,low,6144,0.054400594652843505
0.5,44,scalar_normalized,middle,6144,0.14977012411915716
0.5,44,scalar_normalized,high,6144,0.07813376582064042
0.5,44,fourier_normalized,low,6144,0.07232128314276033
0.5,44,fourier_normalized,middle,6144,0.20065248696081994
0.5,44,fourier_normalized,high,6144,0.09345243402551899
0.5,44,scalar_gate_s1p5_p4,low,6144,0.01332724186775204
0.5,44,scalar_gate_s1p5_p4,middle,6144,0.050128605594407905
0.5,44,scalar_gate_s1p5_p4,high,6144,0.06299268350925093
0.5,44,fourier_gate_s1p5_p4,low,6144,0.013749325136554464
0.5,44,fourier_gate_s1p5_p4,middle,6144,0.050243859409450975
0.5,44,fourier_gate_s1p5_p4,high,6144,0.06189405475535337
0.5,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.017550968563318725
0.5,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.06621400601151156
0.5,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.08695408064683091
0.5,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.017578740182601405
0.5,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.06591730777679632
0.5,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.09646820247929905
0.5,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.013030557687111805
0.5,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.04963588103092662
0.5,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06580669623260114
0.5,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.013721202288810663
0.5,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.049786022807135955
0.5,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06557556065662297
1.0,42,scalar_gate_s1p5_p4_linear_sigma,low,6144,0.032864069724564675
1.0,42,scalar_gate_s1p5_p4_linear_sigma,middle,6144,0.07148835646257008
1.0,42,scalar_gate_s1p5_p4_linear_sigma,high,6144,0.06807193352237699
1.0,42,fourier_gate_s1p5_p4_linear_sigma,low,6144,0.03164993512984884
1.0,42,fourier_gate_s1p5_p4_linear_sigma,middle,6144,0.07039859115409013
1.0,42,fourier_gate_s1p5_p4_linear_sigma,high,6144,0.06098219303817364
1.0,42,scalar_gate_s1p5_p4_tanh_sigma,low,6144,0.03350759282718198
1.0,42,scalar_gate_s1p5_p4_tanh_sigma,middle,6144,0.0731448902781974
1.0,42,scalar_gate_s1p5_p4_tanh_sigma,high,6144,0.06704580153984578
1.0,42,fourier_gate_s1p5_p4_tanh_sigma,low,6144,0.03250542633175309
1.0,42,fourier_gate_s1p5_p4_tanh_sigma,middle,6144,0.07169860947784477
1.0,42,fourier_gate_s1p5_p4_tanh_sigma,high,6144,0.05997488220821623
1.0,42,score,low,6144,0.04939526275981746
1.0,42,score,middle,6144,0.090301175908295
1.0,42,score,high,6144,0.0943237272048969
1.0,42,scalar_gaussian,low,6144,0.044996827115613904
1.0,42,scalar_gaussian,middle,6144,0.1075574855754949
1.0,42,scalar_gaussian,high,6144,0.07177488085498462
1.0,42,fourier_gaussian,low,6144,0.12145307519766302
1.0,42,fourier_gaussian,middle,6144,0.2073279143889488
1.0,42,fourier_gaussian,high,6144,0.0747097358583424
1.0,42,scalar_normalized,low,6144,0.059287193428534356
1.0,42,scalar_normalized,middle,6144,0.11725144624953769
1.0,42,scalar_normalized,high,6144,0.06493842760191249
1.0,42,fourier_normalized,low,6144,0.07433963592482938
1.0,42,fourier_normalized,middle,6144,0.11963020685637482
1.0,42,fourier_normalized,high,6144,0.04793618314431664
1.0,42,scalar_gate_s1p5_p4,low,6144,0.035286433351409595
1.0,42,scalar_gate_s1p5_p4,middle,6144,0.07376985188830773
1.0,42,scalar_gate_s1p5_p4,high,6144,0.06682156126624673
