sigma,linear_log_sigma,bounded_log_sigmoid
0.7097314231731606,0.5761842714061438,0.44799970189664556
0.7129850157130885,0.5775290281492735,0.45218847162847964
0.7162535235633299,0.5788737848924033,0.45640010008431764
0.7195370150995276,0.580218541635533,0.46063431535639676
0.7228355590107765,0.5815632983786627,0.4648908341138078
0.7261492243010594,0.5829080551217924,0.4691693614708103
0.7294780802906919,0.5842528118649222,0.4734695908596992
0.7328221966177711,0.5855975686080518,0.4777912039084912
0.7361816432396343,0.5869423253511816,0.4821338703237138
0.7395564904343201,0.5882870820943114,0.48649724777857356
0.7429468088020403,0.5896318388374411,0.49088098180679846
0.746352669266657,0.5909765955805707,0.4952847057024306
0.7497741430771646,0.5923213523237005,0.49970804042586897
0.7532113018091817,0.5936661090668301,0.5041505945164457
0.7566642173664485,0.5950108658099599,0.5086119640118396
0.7601329619823302,0.5963556225530896,0.5130917323746098
0.7636176082213281,0.5977003792962194,0.5175894704261523
0.7671182289805982,0.599045136039349,0.5221047362883726
0.7706348974914766,0.6003898927824788,0.52663707533337
0.77416768732101,0.6017346495256085,0.5311860201414177
0.7777166723734954,0.6030794062687382,0.5357510904675465
0.7812819268920269,0.6044241630118679,0.5403317932170068
0.7848635254600478,0.6057689197549977,0.5449276224299037
0.7884615430029108,0.6071136764981274,0.5495380592752817
0.7920760547894468,0.608458433241257,0.5541625720549466
0.7957071364335375,0.6098031899843869,0.5588006162172907
0.7993548638956985,0.6111479467275165,0.5634516343813889
0.8030193134846688,0.6124927034706462,0.5681150563716393
0.8067005618590053,0.6138374602137759,0.5727902992631871
0.8103986860286881,0.6151822169569057,0.5774767674383919
0.8141137633567309,0.6165269737000353,0.5821738526545749
0.8178458715607999,0.6178717304431651,0.5868809341232695
0.8215950887148386,0.6192164871862947,0.5915973786012032
0.8253614932507014,0.6205612439294245,0.5963225404932188
0.829145163959796,0.6219060006725542,0.601055761967328
0.8329461799947288,0.6232507574156839,0.6057963730820863
0.8367646208709628,0.6245955141588136,0.6105436919264662
0.8406005664684809,0.6259402709019434,0.6152970247723776
0.844454097033456,0.6272850276450732,0.6200556662399928
